SIF_UUID,PROGRAM_CODE,MANIFEST_ID
acab72f8-bc57-4c5d-81d0-e6f2519ed943,SCI_NA18E_SCIDIM_MODB,I_13aaaaaa-aaaa-4aaa-a46a-978054488224
acab72f8-bc57-4c5d-81d0-e6f2519ed943,SCI_NA18E_SCIDIM_MODC,I_13aaaaaa-aaaa-4aaa-a42a-978054488226
1d969dfe-0bfc-45f4-b56b-f76cd3f14c16,SCI_NA18E_SCIDIM_EAR,I_13aaaaaa-aaaa-4aaa-a3ca-978054481284
2dfd210d-da05-4113-b777-5722005d8c6d,SCI_NA18E_SCIDIM_MODJ,I_13aaaaaa-aaaa-4aaa-a3ea-978054488233
48a4a5c7-5687-4838-bab9-23cc49212dad,SS_NL18E_HS_AH,I_13aaaaaa-aaaa-4aaa-a3ca-978054445416
abfdf22c-bb3a-4033-9f3d-3955c9e5e1b1,SS_NL18E_USH1877,I_13aaaaaa-aaaa-4aaa-a4aa-978132891985
cdc34a82-bf69-46c5-aff2-7ba5a77782a8,SCI_NA18E_SCIDIM_MODC,I_13aaaaaa-aaaa-4aaa-a48a-978054488238
59251da9-1b93-40a2-95b1-b0b52d949550,SS_NL18E_HS_AH,I_13aaaaaa-aaaa-4aaa-a48a-978132891689
7cb66e72-f968-4438-b069-c0ae618becc5,SCI_NA18E_SCIDIM_MODI,I_13aaaaaa-aaaa-4aaa-a40a-978054488232
7cb66e72-f968-4438-b069-c0ae618becc5,SCI_NA18E_SCIDIM_G05,I_13aaaaaa-aaaa-4aaa-a38a-978054470920
7cb66e72-f968-4438-b069-c0ae618becc5,SCI_NA18E_SCIDIM_G03,I_13aaaaaa-aaaa-4aaa-a3ca-978132845061
7cb66e72-f968-4438-b069-c0ae618becc5,SCI_NA18E_SCIDIM_MODB,I_13aaaaaa-aaaa-4aaa-a46a-978054488224
4d09f42f-7ce2-432b-925c-98ed5d83c086,SCI_NA18E_SCIDIM_MODA,I_13aaaaaa-aaaa-4aaa-a3ea-978054488223
4d09f42f-7ce2-432b-925c-98ed5d83c086,SCI_NA18E_SCIDIM_MODG,I_13aaaaaa-aaaa-4aaa-a3aa-978054488230
4d09f42f-7ce2-432b-925c-98ed5d83c086,SCI_NA18E_SCIDIM_MODI,I_13aaaaaa-aaaa-4aaa-a46a-978054488244
f6c1aec1-26c1-47a0-8d1c-9c21c0132ba4,SS_NL18E_HS_WH,I_13aaaaaa-aaaa-4aaa-a48a-978054467359
